word;english;spanish;portuguese;french;chinese;pinyin;cantonese;jyutping;hindi;arabic;russian;bengali;japanese
sheep;sheep;oveja;ovelha;mouton;羊;yáng;羊;jòeng;भेड़;خروف;овца;মেষ;羊
shelf;shelf;repisa;prateleira;étagère;架子;jiàzi;架子;gáazí;शेल्फ;رفوف;полка;বালুচর;棚
ship;ship;embarcacion;navio;bateau;船;chuán;船;syùn;समुंद्री जहाज;سفينة;корабль;জাহাজ;船
shirt;shirt;camisa;camisa;chemise;衬衫;chènshān;衬衫;cânsāam;कमीज;قميص;рубашка;শার্ট;シャツ
shoes;shoes;zapatos;sapatos;chaussures;鞋;xié;鞋;hàai;जूते;أحذية;туфли;জুতা;靴
shoot;shoot;disparar;atirar;tirer;射击;shèjī;射击;segīk;गोली मार;أطلق النار;стрелять;অঙ্কুর;シュート
short (length);short;corto;curto;court;短;duǎn;短;dyún;कम;قصيرة;короткая;সংক্ষিপ্ত;ショート
short (stature);short;bajo;baixo;petit;低;dī;低;dāi;कम;قليل;низкий;কম;低いです
shoulder;shoulder;hombro;ombro;épaule;肩膀;jiānbǎng;肩膀;gīnbóng;कंधा;كتف;плечо;অংস;ショルダー
sick;sick;enfermo;doente;malade;生病;shēngbìng;生病;sāangbeng;बीमार;مرض;больной;অসুস্থ;病気
side;side;lado;lado;côté;边;biān;边;bīn;पक्ष;الجانب;сторона;পাশ;側
sign (indication);sign;signo;placa;panneau;标志;biāozhì;标志;bīuzî;संकेत;إشارة;знак;চিহ্ন;符号
sign (write);sign;firmar;assinar;signer;标志;biāozhì;标志;bīuzî;संकेत;إشارة;знак;চিহ্ন;符号
silver;silver;plata;prata;argent;银;yín;银;ngàn;चांदी;فضة;серебро;রূপা;銀
sing;sing;cantar;cantar;chanter;唱歌;chànggē;唱歌;côenggō;गाओ;يغني;петь;Sing;歌う
sink;sink;lavabo;pia;lavabo;NA;NA;NA;NA;NA;حوض غسيل;NA;NA;NA
sister;sister;hermana;irmã;sœur;姐姐;jiějie;姐姐;zézé;बहन;أخت;сестра;বোন;シスター
sit;sit;sentar;sentar;s'asseoir;坐;zuò;坐;zo;बैठिये;تجلس;сидеть;বসা;座る
six;six;seis;seis;six;六;liù;六;luk;छह;ستة;шесть;ছয়;六
sixteen;sixteen;dieciséis;dezesseis;seize;十六;shíliù;十六;sapluk;सोलह;ستة عشر;шестнадцать;ষোল;16
sixty;sixty;sesenta;sessenta;soixante;六十;liùshí;六十;luksap;साठ;ستون;шестьдесят;ষাট;六十
skin;skin;piel;pele;peau;皮肤;pífū;皮肤;pèifū;त्वचा;بشرة;кожа;চামড়া;肌
skirt;skirt;falda;saia;jupe;短裙;duǎnqún;短裙;dyúnkwàn;स्कर्ट;تنورة;юбка;স্কার্ট;スカート
sky;sky;cielo;céu;ciel;天空;tiānkōng;天空;tīnhūng;आकाश;سماء;небо;আকাশ;空
sleep;sleep;dormir;dormir;dormir;睡觉;shuìjiào;睡觉;seoigâau;नींद;ينام;спать;ঘুম;睡眠
slow;slow;lento;lento;lent;慢;màn;慢;maan;धीरे;بطيء;медленный;ধীর;スロー
small;small;pequeño;pequeno;petit;小;xiǎo;小;síu;छोटा;صغير;маленький;ছোট;小さい
smell;smell;oler;cheirar;sentir;闻;wén;闻;màn;गंध;يشم;запах;গন্ধ;香り
smile;smile;sonrisa;sorriso;sourire;微笑;wēixiào;微笑;mèisîu;मुस्कुराओ;ابتسامة;улыбка;হাসা;スマイル
snake;snake;serpiente;cobra;serpent;蛇;shé;蛇;sè;साँप;ثعبان;змея;সাপ;ヘビ
snow;snow;nieve;neve;neige;雪;xuě;雪;syût;हिमपात;ثلج;снег;তুষার;雪
soap;soap;jabón;sabonete;savon;肥皂;féizào;肥皂;fèizou;साबुन;صابون;мыло;সাবান;石鹸
sock;sock;media;meia;chaussette;NA;na;NA;NA;NA;جَوْرَب;NA;NA;NA
soft;soft;suave;suave;doux;柔软;róuruǎn;柔软;jàujyǔn;मुलायम;لين;мягкий;নরম;柔らかい
soil;soil;tierra;terra;terre;土壤;tǔrǎng;土壤;tóujoeng;धरती;أرض;земной шар;পৃথিবী;地球
soldier;soldier;soldado;soldado;soldat;士兵;shìbīng;士兵;sibīng;फोजी;جندي;солдат;সৈনিক;兵士
son;son;hijo;filho;fils;儿子;érzi;儿子;jìzí;बेटा;ابن;сын;পুত্র;息子
song;song;canción;canção;chanson;歌曲;gēqǔ;歌曲;gōkūk;गीत;أغنية;песня;গান;歌
sound;sound;sonido;som;bruit;声音;shēngyīn;声音;sīngjām;ध्वनि;يبدو;звук;শব্দ;音
soup;soup;sopa;sopa;soupe;汤;tāng;汤;tōng;सूप;حساء;суп;সুপ;スープ
south;south;sur;sul;sud;南;nán;南;nàam;दक्षिण;جنوب;юг;দক্ষিণ;南
space;space;espacio;espaço;espace;空间;kōngjiān;空间;hūnggāan;अंतरिक्ष;الفراغ;космос;স্থান;スペース
spade;spade;pala;pá;pelle;NA;na;NA;NA;NA;رَفْش;NA;NA;NA
speak;speak;hablar;falar;parler;说话;shuōhuà;说话;syûtwaa;बोले;تحدث;разговаривать;কথা বলা;話す
sponge;sponge;esponja;esponja;éponge;海绵;hǎimián;海绵;hóimìn;स्पंज;إسفنج;губка;জীবনযাপন করা;スポンジ
spoon;spoon;cuchara;colher;cuillère;勺子;sháozi;勺子;sôekzí;चम्मच;ملعقة;ложка;চামচ;スプーン
sport;sport;deporte;esporte;sport;运动;yùndòng;运动;wandung;खेल;رياضة;спорт;খেলা;スポーツ
spring;spring;primavera;primavera;printemps;春天;chūntiān;春天;cēontīn;बहार ह;الخريف;весна;বসন্ত;春
square;square;cuadrado;quadrado;carré;正方形;zhèngfāngxíng;正方形;zîngfōngjìng;वर्ग;ميدان;квадрат;বর্গক্ষেত্র;平方
stain;stain;mancha;mancha;tache;弄脏;nòngzāng;弄脏;lungzōng;दाग;وصمة;пятно;দাগ;染色
stamp;stamp;estampa;carimbo;timbre;邮票;yóupiào;邮票;jàupîu;डाक टिकट;ختم;печать;ছাপ;切手
stand;stand;estar de pie;ficar de pé;se lever;站立;zhànlì;站立;zaamlaap;खड़ा;يفهم;стоять;থাকা;スタンド
star;star;estrella;estrela;étoile;星星;xīngxing;星星;sīngsīng;तारा;نجمة;звезда;তারকা;星
stem;stem;tallo;tronco;tige;NA;na;NA;NA;NA;ساق نبات;NA;NA;NA
stick;stick;palo;graveto;bâton;戳;chuō;戳;côek;छड़ी;عصا;палка;লাঠি;スティック
stomach;stomach;estómago;estômago;estomac;胃;wèi;胃;wai;पेट;مَعِدة;желудок;পেট;胃
stone;stone;piedra;pedra;pierre;石头;shítou;石头;sektàu;पत्थर;حصاة;камень;পাথর;結石
stop;stop;detener;parar;arrêter;停止;tíngzhǐ;停止;tìngzí;रुकें;قف;остановка;স্টপ;やめる
store;store;tienda;loja;boutique;店铺;diànpù;店铺;dîmpôu;दुकान;محل;хранить;দোকান;お店
straight;straight;derecho;reto;droit;直;zhí;直;zik;सीधे;مستقيم;прямой;সোজা;まっすぐな
street;street;calle;rua;rue;街道;jiēdào;街道;gāaidou;सड़क;شارع;улица;রাস্তা;通り
strong;strong;fuerte;forte;fort;强;qiáng;强;kòeng;बलवान;قوي;сильный;শক্তিশালী;強い
student;student;estudiante;estudante;étudiant;学生;xuésheng;学生;hoksāng;छात्र;طالِب;ученик;ছাত্র;学生
sugar;sugar;azúcar;açúcar;sucre;糖;táng;糖;tòng;चीनी;السكر;сахар;চিনি;シュガー
suit;suit;traje;traje;costume;套装;tàozhuāng;套装;tôuzōng;सूट;تناسب;подходить;মামলা;スーツ
summer;summer;verano;verão;été;夏天;xiàtiān;夏天;haatīn;गर्मी;الصيف;летом;গ্রীষ্ম;夏
sun;sun;sol;sol;soleil;太阳;tàiyáng;太阳;tâaijòeng;रवि;شمس;солнце;সূর্য;太陽
Sunday;Sunday;domingo;domingo;dimanche;星期日;xīngqīrì;星期日;sīngkèijat;रविवार;الأحد;воскресенье;রবিবার;日曜日
sweat;sweat;sudor;suor;transpiration;汗;hán;汗;hòn;पसीना;عرق;пот;ঘাম;汗
swim;swim;nadar;nadar;nager;游泳;yóuyǒng;游泳;jàuwing;तैराकी;سباحة;плавать;সন্তরণ;泳ぐ
T-shirt;T-shirt;camiseta;camisa;tee-shirt;衬衫;chènshān;衬衫;cânsāam;कमीज;قميص;рубашка;শার্ট;シャツ
table;table;mesa;mesa;table;桌子;zhuōzi;桌子;côekzí;टेबल;طاولة;стол;টেবিল;テーブル
tail;tail;cola;rabo;queue;NA;na;NA;NA;NA;ذَيْل;NA;NA;NA
take;take;recibir;receber;recevoir;接受;jiēshòu;接受;zîpsau;प्राप्त करने के लिए;يَأخُذ;получать;গ্রহণ করতে;受信します
tall;tall;alto;alto;haut;高;gāo;高;gōu;उच्च;متوسط;высоко;উচ্চ;高い
taste;taste;probar;provar;goûter;品尝;pǐncháng;品尝;bánsòeng;स्वाद;ذوق;вкус;স্বাদ;味
tea;tea;té;chá;thé;茶;chá;茶;càa;चाय;شاي;чай;চা;お茶
teach;teach;enseñar;ensinar;enseigner;教;jiào;教;gâau;शिक्षा देने के लिए;يُعَلِّم;учить;শেখান;教えるために
teacher;teacher;profesor;professor;professeur;老师;lǎoshī;老师;lǒusī;अध्यापक;معلم;учитель;শিক্ষক;先生
team;team;equipo;equipe;équipe;团队;tuánduì;团队;tyùndéoi;टीम;فريق;команда;টীম;チーム
tear;tear;lágrima;lágrima;larme;眼泪;yǎnlèi;眼泪;ngǎanleoi;आँसू;يقطع;рвать;টিয়ার;涙
technology;technology;tecnología;tecnologia;technologie;技术;jìshù;技术;geiseot;प्रौद्योगिकी;تقنية;технологии;প্রযুক্তি;技術
telephone;telephone;teléfono;telefone;téléphone;电话;diànhuà;电话;dinwáa;टेलीफोन;هاتف;телефон;টেলিফোন;電話
television;television;televisión;televisão;télévision;电视;diànshì;电视;dinsi;टीवी;تلفزيون;телевидение;টেলিভিশন;テレビ
temperature;temperature;temperatura;temperatura;température;温度;wēndù;温度;wāndou;तापमान;درجة الحرارة;температура;তাপমাত্রা;温度
ten;ten;diez;dez;dix;十;shí;十;sap;दस;عشرة;десять;দশ;十
theater;theater;teatro;teatro;théâtre;剧院;jùyuàn;剧院;kekjyún;थिएटर;مسرح;театр;থিয়েটার;劇場
there;there;allá;lá;là;那里;nàli;那里;nǎalěoi;क्या आप वहां मौजूद हैं;هناك;там;সেখানে;そこ
they;they;ellos;elas;elles;他们;tāmen;他们;tāamùn;वे;أنهم;oни;তারা;彼ら
thick;thick;grueso;grosso;épais;厚;hòu;厚;hǎu;मोटा;سميك;толстый;পুরু;厚い
thin;thin;delgado;fino;fin;薄薄;bóbó;薄薄;bokbok;पतला;نحيف;тонкий;পাতলা;薄い
think;think;pensar;achar;penser;思考;sīkǎo;思考;sīháau;सोच;فكر في;считать;মনে;考えます
third;third;tercero;terceiro;troisième;第三;#ERROR!;第三;daisāam;तीसरा;الثالث;третий;তৃতীয়;第三
thirteen;thirteen;trece;treze;treize;十三;shísān;十三;sapsāam;तेरह;ثلاثة عشر;тринадцать;তের;13
thirty;thirty;treinta;trinta;trente;三十;sānshí;三十;sāamsap;तीस;ثلاثون;три́дцать;ত্রিশ;30
thousand;thousand;mil;mil;mille;一千;yīqiān;一千;jātcīn;हज़ार;ألف;тысяча;হাজার;千
thread;thread;hilo;fio;fil;NA;na;NA;NA;NA;خَيْط;NA;NA;NA
three;three;tres;três;trois;三;sān;三;sāam;तीन;ثلاثة;три;তিন;三
throat;throat;garganta;garganta;gorge;喉;hóu;喉;hàu;गले;حَلْق;горло;গলা;喉
throw;throw;lanzar;lançar;lancer;扔;rēng;扔;wīng;फेंकना;يَرمي;бросать;নিক্ষেপ;スロー
thumb;thumb;pulgar;polegar;pouce;拇指;mǔzhǐ;拇指;mǒuzí;अंगूठे;إبهام;большой палец;অঙ্গুষ্ঠ;親指
Thursday;Thursday;jueves;quinta-feira;jeudi;周四;zhōusì;周四;zāusêi;गुरूवार;يوم الخميس;четверг;বৃহস্পতিবার;木曜日
ticket;ticket;boleto;bilhete;billet;票;piào;票;pîu;टिकट;تذكرة;проездной билет;টিকেট;チケット
tight;tight;apretado;apertado;serré;紧;jǐn;紧;gán;तंग;مشدود;обтягивающий;আঁট;タイト
time;time;tiempo;tempo;temps;时间;shíjiān;时间;sìgâan;समय;وقت;время;সময়;時間
tire;tire;neumático;pneu;pneu;胎;tāi;胎;tōi;टायर;إطار العجلة;шина;পাগড়ি;タイヤ
toe;toe;dedo del pie;dedo do pé;orteil;脚趾;jiǎozhǐ;脚趾;gôekzí;पैर की अंगुली;إصبع قدم;палец;পদাঙ্গুলি;足の指
together;together;juntos;juntos;ensemble;一起;yīqǐ;一起;jāthéi;साथ में;سويا;вместе;একসঙ্গে;一緒
tongue;tongue;lengua;língua;langue;舌头;shétou;舌头;sîttàu;जुबान;لسان;язык;জিহ্বা;舌
tool;tool;herramienta;ferramenta;outil;工具;gōngjù;工具;gūnggeoi;साधन;أداة;инструмент;টুল;ツール
tooth;tooth;diente;dente;dent;齿;chǐ;齿;cí;दांत;سن;зуб;দাঁত;歯
top;top;cima;topo;haut;最佳;zuìjiā;最佳;zêoigāai;ऊपर;أعلى;верх;শীর্ষ;上
touch;touch;tocar;tocar;toucher;触摸;chùmō;触摸;zūkmó;छूना;يَلْمِس;трогать;স্পর্শ করতে;触る
town;town;pueblo;povoado;ville;镇;zhèn;镇;zân;नगर;بلدة;городок;শহর;町
train station;train station;estación de tren;estação de trem;gare;火车站;huǒchēzhàn;火车站;fócēzaam;रेलवे स्टेशन;محطة القطار;железнодорожная станция;রেল ষ্টেশন;でんしゃのりば
train;train;tren;trem;train;火车;huǒchē;火车;fócē;रेल गाडी;قطار;тренироваться;রেলগাড়ি;列車
transportation;transportation;transporte;transporte;transport;运输;yùnshū;运输;wansyū;ट्रांसपोर्ट;المواصلات;транспорт;পরিবহন;輸送
tray;tray;bandeja;bandeja;plateau;托盘;tuōpán;托盘;tôkpùn;ट्रे;علبة;поднос;ট্রে;トレイ
tree;tree;árbol;árvore;arbre;树;shù;树;syu;पेड़;شجرة;дерево;গাছ;木
truck;truck;camión;caminhão;camion;卡车;kǎchē;卡车;kāacē;ट्रक;شاحِنة;грузови́к;ট্রাক;トラック
Tuesday;Tuesday;martes;terça-feira;mardi;周二;zhōuèr;周二;zāuji;मंगलवार;يوم الثلاثاء;вторник;মঙ্গলবার;火曜日
turn;turn;girar;virar;tourner;NA;na;NA;NA;मोड़;يَنْعَطِف;повернуть;চালু;順番
twelve;twelve;doce;doze;douze;十二;shíèr;十二;sapji;बारह;اثني عشر;двенадцать;বার;12
twenty-one;twenty-one;veintiuno;vinte e um;vingt-et-un;二十一;èrshíyī;二十一;jisapjāt;इक्कीस;واحد وعشرين;двадцать один;একুশ;21
twenty;twenty;veinte;vinte;vingt;二十;èrshí;二十;jisap;बीस;عشرون;двадцать;বিশ;二十
two;two;dos;dois;deux;二;èr;二;ji;दो;اثنين;два;দুই;二
ugly;ugly;feo;feio;moche;丑陋;chǒulòu;丑陋;cáulau;कुरूप;قَبيح;уродливый;অরুপ;醜い
umbrella;umbrella;sombrilla;sombrinha;ombrelle;NA;na;NA;NA;NA;مِظَلّة;NA;NA;NA
university;university;universidad;universidade;université;大学;dàxué;大学;daaihok;विश्वविद्यालय;جامعة;университет;বিশ্ববিদ্যালয়;大学
up;up;arriba;acima;dessus;以上;yǐshàng;以上;jǐsoeng;ऊपर;فوق;над;উপরে;上記
valley;valley;valle;vale;vallée;谷;gǔ;谷;gūk;घाटी;الوادي;долина;উপত্যকা;谷
victim;victim;víctima;vítima;victime;受害者;shòuhàizhě;受害者;sauhoizé;शिकार;ضحية;жертва;শিকার;犠牲者
voice;voice;voz;voz;voix;嗓音;sǎngyīn;嗓音;sōngjām;आवाज़;صَوْت;голос;কণ্ঠস্বর;ボイス
vowel;vowel;vocal;vogal;voyelle;元音;yuányīn;元音;jyùnjām;स्वर;حَرْف مُتَحَرِّك;гласный;স্বরবর্ণ;母音
wait;wait;esperar;esperar;attendre;等待;děngdài;等待;dángdoi;रुको;انتظر;ждать;অপেক্ষার;待つ
waiter;waiter;camarero;garçom;garçon;服务员;fúwùyuán;服务员;fukmoujyùn;वेटर;النادل;официант;ওয়েটার;ウェイター
wake up;wake up;despertar;acordar;réveiller;起床;qǐchuáng;起床;héicòng;जागृत करने के लिए;استيقظ;проснуться;জেগে উঠতে;起きる
walk;walk;caminar;andar;marcher;走;zǒu;走;záu;टहल लो;سير;ходить;পদব্রজে ভ্রমণ;歩く
wall;wall;pared;parede;mur;墙;qiáng;墙;còeng;दीवार;حائط;стена;প্রাচীর;壁
want;want;querer;quer;vouloir;想;xiǎng;想;sóeng;चाहते हैं;يريد;хотеть;প্রয়োজন;欲しい
war;war;guerra;guerra;guerre;战争;zhànzhēng;战争;zînzāng;युद्ध;حرب;война;যুদ্ধ;戦争
warm;warm;caliente;morno;chaud;热;rè;热;jit;गरम;الحار;горячей;গরম;ホット
wash;wash;lavar;lavar;laver;洗;xǐ;洗;sái;धोना;لغسل;мыть;ধুতে;洗う
watch;watch;ver;assistir;regarder;手表;shǒubiǎo;手表;sáubīu;घड़ी;راقب;смотреть;ঘড়ি;見る
water;water;agua;água;eau;水;shuǐ;水;séoi;पानी;ماء;вода;পানি;水
wave;wave;ola;onda;vague;海浪;hǎilàng;海浪;hóilong;लहर;موجة;волна;তরঙ্গ;波
we;we;nosotros;nós;nous;我们;wǒmen;我们;ngǒmùn;हम;نحن;мы;আমরা;私達
weak;weak;débil;fraco;faible;虚弱;xūruò;虚弱;hēoijoek;कमज़ोर;ضعيف;слабый;দুর্বল;弱い
wear;wear;vestir;vestir;porter;穿;chuān;穿;cyūn;पहन लेना;يَرْتَدي;носить;পরিধান;着る
wedding;wedding;boda;casamento;mariage;婚礼;hūnlǐ;婚礼;fānlǎi;शादी;حفل زواج;свадьба;বিবাহ;結婚式
Wednesday;Wednesday;miércoles;quarta-feira;mercredi;周三;zhōusān;周三;zāusāam;बुधवार;الأربعاء;среда;বুধবার;水曜日
week;week;semana;semana;semaine;星期;xīngqī;星期;sīngkèi;सप्ताह;أسبوع;неделю;সপ্তাহ;週間
weight;weight;peso;peso;poids;重量;zhòngliàng;重量;zungloeng;वजन;وزن;масса;ওজন;重量
west;west;oeste;oeste;ouest;西;xī;西;sāi;पश्चिम;غرب;запад;পশ্চিম;西
wet;wet;mojado;molhado;mouillé;湿;shī;湿;sāp;भीगी भीगी;مبلل;смачивать;ভিজা;ぬれました
wheel;wheel;rueda;roda;roue;车轮;chēlún;车轮;cēlèon;पहिया;عجلة;колесо;চাকা;ホイール
whip;whip;látigo;chicote;fouet;鞭子;biānzi;鞭子;bīnzí;कोड़ा;سوط;хлыст;চাবুক;ホイップ
whistle;whistle;pito;apito;siffler;哨;shào;哨;sâau;सीटी;صفارة;свист;বাঁশি;ホイッスル
white;white;blanco;branco;blanc;白色;báisè;白色;baaksīk;सफेद;أبيض;белый;সাদা;白い
wide;wide;amplio;amplo;large;宽;kuān;宽;fūn;चौड़ा;واسع;широкий;প্রশস্ত;広い
wife;wife;esposa;esposa;épouse;妻子;qīzi;妻子;cāizí;बीवी;زوجة;жена;স্ত্রী;妻
win;win;ganar;ganhar;gagner;取胜;qǔshèng;取胜;céoisîng;जीतने के लिए;يَفوز;побеждать;জেতার জন্য;勝つために
wind;wind;viento;vento;vent;风;fēng;风;fūng;हवा;ريح;ветер;বায়ু;風
window;window;ventana;janela;fenêtre;窗户;chuānghù;窗户;cōengwu;खिड़की;نافِذة;окно;জানলা;窓
wine;wine;vino;vinho;vin;葡萄酒;pútaojiǔ;葡萄酒;pòutòuzáu;वाइन;نبيذ;вино;মদ;ワイン
wing;wing;ala;asa;aile;翅膀;chìbǎng;翅膀;cîpòng;विंग;جناح;крыло;গরূৎ;羽
winter;winter;invierno;inverno;hiver;冬天;dōngtiān;冬天;dūngtīn;सर्दी;الشتاء;зима;শীতকালীন;冬
wire;wire;cable;arame;fil;线;xiàn;线;sîn;वायर;الأسلاك;провод;টেলিগ্রাম;ワイヤー
woman;woman;mujer;mulher;femme;女士;nǚshì;女士;něoisi;महिला;النساء;женщина;নারী;女性
wood;wood;madera;madeira;bois;木头;mùtou;木头;muktàu;लकड़ी;خشب;дерево;কাঠ;木材
work;work;trabajar;trabalhar;travailler;工作;gōngzuò;工作;gūngzôk;काम करने के लिए;للعمل;работать;কাজ করতে;仕事へ
world;world;mundo;mundo;monde;世界;shìjiè;世界;sâigâai;विश्व;العالمية;мир;বিশ্ব;世界
worm;worm;gusano;verme;ver;虫;chóng;虫;cùng;कीड़ा;دودة;червь;কীট;ワーム
write;write;escribir;escrever;écrire;写;xiě;写;sé;लिखना;يَكْتُب;написать;লিখতে;書く
year;year;año;ano;an;年;nián;年;nìn;साल;عام;год;বছর;年
yellow;yellow;amarillo;amarelo;jaune;黄色;huángsè;黄色;wòngsīk;पीला;أصفر;желтый;হলুদ;黄
yes;yes;sí;sim;oui;是;shì;是;si;हाँ;نعم;да;হ্যাঁ;はい
you (plural);you;ustedes;vocês;vous;你们;nǐmen;你们;něimùn;आप प;أنتم;вы;আপনি;あなた達
you (singular);you;tú;você;toi;你;nǐ;你;něi;आप प;انتَ;ты;আপনি;あなたは
young;young;joven;jovem;jeune;年轻;niánqīng;年轻;nìnhēng;युवा;صغيرة;молодой;তরুণ;若い
zero;zero;cero;zero;zéro;零;líng;零;lìng;शून्य;صفر;нуль;শূন্য;ゼロ
