first_field;image_html;french;french_audio_html;spanish
accident - french;"<img src=""vocab-accident.jpg"">";accident;[sound:vocab-french-accident.mp3];accidente
actor - french;"<img src=""vocab-actor.jpg"">";acteur;[sound:vocab-french-acteur.mp3];actor
adult - french;"<img src=""vocab-adult.jpg"">";adulte;[sound:vocab-french-adulte.mp3];adulto
afternoon - french;"<img src=""vocab-afternoon.jpg"">";après-midi;[sound:vocab-french-après-midi.mp3];tarde
air - french;"<img src=""vocab-air.jpg"">";air;[sound:vocab-french-air.mp3];aire
airport - french;"<img src=""vocab-airport.jpg"">";aéroport;[sound:vocab-french-aéroport.mp3];aeropuerto
alive - french;"<img src=""vocab-alive.jpg"">";vivant;[sound:vocab-french-vivant.mp3];vivo
alone - french;"<img src=""vocab-alone.jpg"">";seul;[sound:vocab-french-seul.mp3];solo
animal - french;"<img src=""vocab-animal.jpg"">";animal;[sound:vocab-french-animal.mp3];animal
answer - french;"<img src=""vocab-answer.jpg"">";répondre;[sound:vocab-french-répondre.mp3];contestar
apartment - french;"<img src=""vocab-apartment.jpg"">";appartement;[sound:vocab-french-appartement.mp3];apartamento
apple - french;"<img src=""vocab-apple.jpg"">";pomme;[sound:vocab-french-pomme.mp3];manzana
April - french;"<img src=""vocab-April.jpg"">";avril;[sound:vocab-french-avril.mp3];abril
arm - french;"<img src=""vocab-arm.jpg"">";bras;[sound:vocab-french-bras.mp3];brazo
army - french;"<img src=""vocab-army.jpg"">";armée;[sound:vocab-french-armée.mp3];ejército
art - french;"<img src=""vocab-art.jpg"">";art;[sound:vocab-french-art.mp3];arte
artist - french;"<img src=""vocab-artist.jpg"">";artiste;[sound:vocab-french-artiste.mp3];artista
ask - french;"<img src=""vocab-ask.jpg"">";demander;[sound:vocab-french-demander.mp3];preguntar
attack - french;"<img src=""vocab-attack.jpg"">";attaque;[sound:vocab-french-attaque.mp3];ataque
August - french;"<img src=""vocab-August.jpg"">";août;[sound:vocab-french-août.mp3];agosto
author - french;"<img src=""vocab-author.jpg"">";auteur;[sound:vocab-french-auteur.mp3];autor
baby - french;"<img src=""vocab-baby.jpg"">";bébé;[sound:vocab-french-bébé.mp3];bebé
back (body) - french;"<img src=""vocab-back (body).jpg"">";dos;[sound:vocab-french-dos.mp3];espalda
back (direction) - french;"<img src=""vocab-back (direction).jpg"">";arrière;[sound:vocab-french-arrière.mp3];atrás
bad - french;"<img src=""vocab-bad.jpg"">";mal;[sound:vocab-french-mal.mp3];malo
bag - french;"<img src=""vocab-bag.jpg"">";sac;[sound:vocab-french-sac.mp3];bolso
ball - french;"<img src=""vocab-ball.jpg"">";balle;[sound:vocab-french-balle.mp3];pelota
banana - french;"<img src=""vocab-banana.jpg"">";banane;[sound:vocab-french-banane.mp3];plátano
band - french;"<img src=""vocab-band.jpg"">";bande;[sound:vocab-french-bande.mp3];banda
bank - french;"<img src=""vocab-bank.jpg"">";banque;[sound:vocab-french-banque.mp3];banco
bar - french;"<img src=""vocab-bar.jpg"">";bar;[sound:vocab-french-bar.mp3];bar
bathroom - french;"<img src=""vocab-bathroom.jpg"">";salle de bain;[sound:vocab-french-salle de bain.mp3];baño
beach - french;"<img src=""vocab-beach.jpg"">";plage;[sound:vocab-french-plage.mp3];playa
beard - french;"<img src=""vocab-beard.jpg"">";barbe;[sound:vocab-french-barbe.mp3];barba
beat - french;"<img src=""vocab-beat.jpg"">";battre;[sound:vocab-french-battre.mp3];derrotar
beautiful - french;"<img src=""vocab-beautiful.jpg"">";belle;[sound:vocab-french-belle.mp3];hermoso
bed - french;"<img src=""vocab-bed.jpg"">";lit;[sound:vocab-french-lit.mp3];cama
bedroom - french;"<img src=""vocab-bedroom.jpg"">";chambre à coucher;[sound:vocab-french-chambre à coucher.mp3];habitación
beef - french;"<img src=""vocab-beef.jpg"">";boeuf;[sound:vocab-french-boeuf.mp3];carne de vaca
beer - french;"<img src=""vocab-beer.jpg"">";bière;[sound:vocab-french-bière.mp3];cerveza
bend - french;"<img src=""vocab-bend.jpg"">";plier;[sound:vocab-french-plier.mp3];doblar
beverage - french;"<img src=""vocab-beverage.jpg"">";boisson;[sound:vocab-french-boisson.mp3];bebida
bicycle - french;"<img src=""vocab-bicycle.jpg"">";vélo;[sound:vocab-french-vélo.mp3];bicicleta
big - french;"<img src=""vocab-big.jpg"">";grand;[sound:vocab-french-grand.mp3];grande
bill - french;"<img src=""vocab-bill.jpg"">";facture;[sound:vocab-french-facture.mp3];cuenta
billion - french;"<img src=""vocab-billion.jpg"">";milliard;[sound:vocab-french-milliard.mp3];mil millones
bird - french;"<img src=""vocab-bird.jpg"">";oiseau;[sound:vocab-french-oiseau.mp3];pájaro
black - french;"<img src=""vocab-black.jpg"">";noir;[sound:vocab-french-noir.mp3];negro
blind - french;"<img src=""vocab-blind.jpg"">";aveugle;[sound:vocab-french-aveugle.mp3];ciego
blood - french;"<img src=""vocab-blood.jpg"">";sang;[sound:vocab-french-sang.mp3];sangre
blue - french;"<img src=""vocab-blue.jpg"">";bleu;[sound:vocab-french-bleu.mp3];azul
boat - french;"<img src=""vocab-boat.jpg"">";bateau;[sound:vocab-french-bateau.mp3];bote
body - french;"<img src=""vocab-body.jpg"">";corps;[sound:vocab-french-corps.mp3];cuerpo
bone - french;"<img src=""vocab-bone.jpg"">";os;[sound:vocab-french-os.mp3];hueso
book - french;"<img src=""vocab-book.jpg"">";livre;[sound:vocab-french-livre.mp3];libro
bottle - french;"<img src=""vocab-bottle.jpg"">";bouteille;[sound:vocab-french-bouteille.mp3];botella
bottom - french;"<img src=""vocab-bottom.jpg"">";bas;[sound:vocab-french-bas.mp3];fondo
box - french;"<img src=""vocab-box.jpg"">";boîte;[sound:vocab-french-boîte.mp3];caja
boy - french;"<img src=""vocab-boy.jpg"">";garçon;[sound:vocab-french-garçon.mp3];muchacho
brain - french;"<img src=""vocab-brain.jpg"">";cerveau;[sound:vocab-french-cerveau.mp3];cerebro
bread - french;"<img src=""vocab-bread.jpg"">";pain;[sound:vocab-french-pain.mp3];pan
break - french;"<img src=""vocab-break.jpg"">";pause;[sound:vocab-french-pause.mp3];romper
breakfast - french;"<img src=""vocab-breakfast.jpg"">";petit-déjeuner;[sound:vocab-french-petit-déjeuner.mp3];desayuno
bridge - french;"<img src=""vocab-bridge.jpg"">";pont;[sound:vocab-french-pont.mp3];puente
bring - french;"<img src=""vocab-bring.jpg"">";apporter;[sound:vocab-french-apporter.mp3];traer
brother - french;"<img src=""vocab-brother.jpg"">";frère;[sound:vocab-french-frère.mp3];hermano
brown - french;"<img src=""vocab-brown.jpg"">";marron;[sound:vocab-french-marron.mp3];marrón
build - french;"<img src=""vocab-build.jpg"">";construire;[sound:vocab-french-construire.mp3];construir
building - french;"<img src=""vocab-building.jpg"">";bâtiment;[sound:vocab-french-bâtiment.mp3];edificio
burn - french;"<img src=""vocab-burn.jpg"">";brûler;[sound:vocab-french-brûler.mp3];quemar
bus - french;"<img src=""vocab-bus.jpg"">";bus;[sound:vocab-french-bus.mp3];autobús
buy - french;"<img src=""vocab-buy.jpg"">";acheter;[sound:vocab-french-acheter.mp3];comprar
cake - french;"<img src=""vocab-cake.jpg"">";gâteau;[sound:vocab-french-gâteau.mp3];pastel
call - french;"<img src=""vocab-call.jpg"">";appeler;[sound:vocab-french-appeler.mp3];llamar
camera - french;"<img src=""vocab-camera.jpg"">";caméra;[sound:vocab-french-caméra.mp3];cámara
camp - french;"<img src=""vocab-camp.jpg"">";camp;[sound:vocab-french-camp.mp3];campamento
car - french;"<img src=""vocab-car.jpg"">";voiture;[sound:vocab-french-voiture.mp3];carro
card - french;"<img src=""vocab-card.jpg"">";carte;[sound:vocab-french-carte.mp3];tarjeta
carry - french;"<img src=""vocab-carry.jpg"">";porter;[sound:vocab-french-porter.mp3];llevar
cat - french;"<img src=""vocab-cat.jpg"">";chat;[sound:vocab-french-chat.mp3];gato
catch - french;"<img src=""vocab-catch.jpg"">";attraper;[sound:vocab-french-attraper.mp3];capturar
ceiling - french;"<img src=""vocab-ceiling.jpg"">";plafond;[sound:vocab-french-plafond.mp3];techo
cell phone - french;"<img src=""vocab-cell phone.jpg"">";téléphone cellulaire;[sound:vocab-french-téléphone cellulaire.mp3];celular
centimeter - french;"<img src=""vocab-centimeter.jpg"">";centimètre;[sound:vocab-french-centimètre.mp3];centímetro
chair - french;"<img src=""vocab-chair.jpg"">";chaise;[sound:vocab-french-chaise.mp3];silla
cheap - french;"<img src=""vocab-cheap.jpg"">";bon marché;[sound:vocab-french-bon marché.mp3];barato
cheese - french;"<img src=""vocab-cheese.jpg"">";fromage;[sound:vocab-french-fromage.mp3];queso
chicken - french;"<img src=""vocab-chicken.jpg"">";poulet;[sound:vocab-french-poulet.mp3];pollo
child - french;"<img src=""vocab-child.jpg"">";enfant;[sound:vocab-french-enfant.mp3];niño
church - french;"<img src=""vocab-church.jpg"">";église;[sound:vocab-french-église.mp3];iglesia
circle - french;"<img src=""vocab-circle.jpg"">";cercle;[sound:vocab-french-cercle.mp3];círculo
city - french;"<img src=""vocab-city.jpg"">";ville;[sound:vocab-french-ville.mp3];ciudad
clay - french;"<img src=""vocab-clay.jpg"">";argile;[sound:vocab-french-argile.mp3];arcilla
clean (adjective) - french;"<img src=""vocab-clean (adjective).jpg"">";propre;[sound:vocab-french-propre.mp3];limpio
clean (verb) - french;"<img src=""vocab-clean (verb).jpg"">";nettoyer;[sound:vocab-french-nettoyer.mp3];limpiar
clock - french;"<img src=""vocab-clock.jpg"">";horloge;[sound:vocab-french-horloge.mp3];reloj
close - french;"<img src=""vocab-close.jpg"">";fermer;[sound:vocab-french-fermer.mp3];cerrar
clothing - french;"<img src=""vocab-clothing.jpg"">";vêtements;[sound:vocab-french-vêtements.mp3];ropa
club - french;"<img src=""vocab-club.jpg"">";club;[sound:vocab-french-club.mp3];club
coat - french;"<img src=""vocab-coat.jpg"">";manteau;[sound:vocab-french-manteau.mp3];saco
coffee - french;"<img src=""vocab-coffee.jpg"">";café;[sound:vocab-french-café.mp3];café
cold - french;"<img src=""vocab-cold.jpg"">";froid;[sound:vocab-french-froid.mp3];frío
color - french;"<img src=""vocab-color.jpg"">";couleur;[sound:vocab-french-couleur.mp3];color
come - french;"<img src=""vocab-come.jpg"">";venir;[sound:vocab-french-venir.mp3];venir
computer - french;"<img src=""vocab-computer.jpg"">";ordinateur;[sound:vocab-french-ordinateur.mp3];computadora
consonant - french;"<img src=""vocab-consonant.jpg"">";consonne;[sound:vocab-french-consonne.mp3];consonante
contract - french;"<img src=""vocab-contract.jpg"">";contrat;[sound:vocab-french-contrat.mp3];contrato
cook - french;"<img src=""vocab-cook.jpg"">";cuisiner;[sound:vocab-french-cuisiner.mp3];cocinar
copper - french;"<img src=""vocab-copper.jpg"">";cuivre;[sound:vocab-french-cuivre.mp3];cobre
corn - french;"<img src=""vocab-corn.jpg"">";maïs;[sound:vocab-french-maïs.mp3];maíz
corner - french;"<img src=""vocab-corner.jpg"">";coin;[sound:vocab-french-coin.mp3];esquina
count - french;"<img src=""vocab-count.jpg"">";compter;[sound:vocab-french-compter.mp3];contar
country - french;"<img src=""vocab-country.jpg"">";pays;[sound:vocab-french-pays.mp3];país
court - french;"<img src=""vocab-court.jpg"">";cour;[sound:vocab-french-cour.mp3];corte
cow - french;"<img src=""vocab-cow.jpg"">";vache;[sound:vocab-french-vache.mp3];vaca
crowd - french;"<img src=""vocab-crowd.jpg"">";foule;[sound:vocab-french-foule.mp3];multitud
cry - french;"<img src=""vocab-cry.jpg"">";pleurer;[sound:vocab-french-pleurer.mp3];llorar
cup - french;"<img src=""vocab-cup.jpg"">";tasse;[sound:vocab-french-tasse.mp3];taza
curved - french;"<img src=""vocab-curved.jpg"">";incurvé;[sound:vocab-french-incurvé.mp3];curvo
cut - french;"<img src=""vocab-cut.jpg"">";couper;[sound:vocab-french-couper.mp3];cortar
dance - french;"<img src=""vocab-dance.jpg"">";danser;[sound:vocab-french-danser.mp3];bailar
dark - french;"<img src=""vocab-dark.jpg"">";sombre;[sound:vocab-french-sombre.mp3];oscuro
date - french;"<img src=""vocab-date.jpg"">";date;[sound:vocab-french-date.mp3];fecha
daughter - french;"<img src=""vocab-daughter.jpg"">";fille;[sound:vocab-french-fille.mp3];hija
day - french;"<img src=""vocab-day.jpg"">";journée;[sound:vocab-french-journée.mp3];día
dead - french;"<img src=""vocab-dead.jpg"">";morte;[sound:vocab-french-morte.mp3];muerto
deaf - french;"<img src=""vocab-deaf.jpg"">";sourd;[sound:vocab-french-sourd.mp3];sordo
death - french;"<img src=""vocab-death.jpg"">";mort;[sound:vocab-french-mort.mp3];muerte
December - french;"<img src=""vocab-December.jpg"">";décembre;[sound:vocab-french-décembre.mp3];diciembre
deep - french;"<img src=""vocab-deep.jpg"">";profond;[sound:vocab-french-profond.mp3];profundo
diamond - french;"<img src=""vocab-diamond.jpg"">";diamant;[sound:vocab-french-diamant.mp3];diamante
die - french;"<img src=""vocab-die.jpg"">";mourir;[sound:vocab-french-mourir.mp3];morir
difficult - french;"<img src=""vocab-difficult.jpg"">";difficile;[sound:vocab-french-difficile.mp3];difícil
dig - french;"<img src=""vocab-dig.jpg"">";creuser;[sound:vocab-french-creuser.mp3];cavar
dinner - french;"<img src=""vocab-dinner.jpg"">";dîner;[sound:vocab-french-dîner.mp3];cena
direction - french;"<img src=""vocab-direction.jpg"">";direction;[sound:vocab-french-direction.mp3];dirección
dirty - french;"<img src=""vocab-dirty.jpg"">";sale;[sound:vocab-french-sale.mp3];sucio
disease - french;"<img src=""vocab-disease.jpg"">";maladie;[sound:vocab-french-maladie.mp3];enfermedad
doctor - french;"<img src=""vocab-doctor.jpg"">";docteur;[sound:vocab-french-docteur.mp3];doctor
dog - french;"<img src=""vocab-dog.jpg"">";chien;[sound:vocab-french-chien.mp3];perro
dollar - french;"<img src=""vocab-dollar.jpg"">";dollar;[sound:vocab-french-dollar.mp3];dólar
door - french;"<img src=""vocab-door.jpg"">";porte;[sound:vocab-french-porte.mp3];puerta
dot - french;"<img src=""vocab-dot.jpg"">";point;[sound:vocab-french-point.mp3];punto
down - french;"<img src=""vocab-down.jpg"">";dessous;[sound:vocab-french-dessous.mp3];abajo
draw - french;"<img src=""vocab-draw.jpg"">";dessiner;[sound:vocab-french-dessiner.mp3];dibujar
dream - french;"<img src=""vocab-dream.jpg"">";rêver;[sound:vocab-french-rêver.mp3];sueño
dress - french;"<img src=""vocab-dress.jpg"">";robe;[sound:vocab-french-robe.mp3];vestido
drink - french;"<img src=""vocab-drink.jpg"">";boire;[sound:vocab-french-boire.mp3];beber
drive - french;"<img src=""vocab-drive.jpg"">";conduire;[sound:vocab-french-conduire.mp3];manejar
drug - french;"<img src=""vocab-drug.jpg"">";drogue;[sound:vocab-french-drogue.mp3];droga
dry - french;"<img src=""vocab-dry.jpg"">";sécher;[sound:vocab-french-sécher.mp3];seco
dust - french;"<img src=""vocab-dust.jpg"">";poussière;[sound:vocab-french-poussière.mp3];polvo
ear - french;"<img src=""vocab-ear.jpg"">";oreille;[sound:vocab-french-oreille.mp3];oreja
Earth - french;"<img src=""vocab-Earth.jpg"">";terre;[sound:vocab-french-terre.mp3];tierra
east - french;"<img src=""vocab-east.jpg"">";est;[sound:vocab-french-est.mp3];este
easy - french;"<img src=""vocab-easy.jpg"">";facile;[sound:vocab-french-facile.mp3];fácil
eat - french;"<img src=""vocab-eat.jpg"">";manger;[sound:vocab-french-manger.mp3];comer
edge - french;"<img src=""vocab-edge.jpg"">";bord;[sound:vocab-french-bord.mp3];borde
egg - french;"<img src=""vocab-egg.jpg"">";œuf;[sound:vocab-french-œuf.mp3];huevo
eight - french;"<img src=""vocab-eight.jpg"">";huit;[sound:vocab-french-huit.mp3];ocho
eighteen - french;"<img src=""vocab-eighteen.jpg"">";dix-huit;[sound:vocab-french-dix-huit.mp3];dieciocho
eighty - french;"<img src=""vocab-eighty.jpg"">";quatre-vingts;[sound:vocab-french-quatre-vingts.mp3];ochenta
election - french;"<img src=""vocab-election.jpg"">";élection;[sound:vocab-french-élection.mp3];elección
electronics - french;"<img src=""vocab-electronics.jpg"">";électronique;[sound:vocab-french-électronique.mp3];electrónica
eleven - french;"<img src=""vocab-eleven.jpg"">";onze;[sound:vocab-french-onze.mp3];once
energy - french;"<img src=""vocab-energy.jpg"">";énergie;[sound:vocab-french-énergie.mp3];energía
engine - french;"<img src=""vocab-engine.jpg"">";moteur;[sound:vocab-french-moteur.mp3];motor
escape - french;"<img src=""vocab-escape.jpg"">";s'échapper;[sound:vocab-french-s'échapper.mp3];escapar
evening - french;"<img src=""vocab-evening.jpg"">";soir;[sound:vocab-french-soir.mp3];noche
exercise - french;"<img src=""vocab-exercise.jpg"">";exercer;[sound:vocab-french-exercer.mp3];ejercicio
expensive - french;"<img src=""vocab-expensive.jpg"">";coûteux;[sound:vocab-french-coûteux.mp3];costoso
explode - french;"<img src=""vocab-explode.jpg"">";exploser;[sound:vocab-french-exploser.mp3];explotar
eye - french;"<img src=""vocab-eye.jpg"">";œil;[sound:vocab-french-œil.mp3];ojo
face - french;"<img src=""vocab-face.jpg"">";visage;[sound:vocab-french-visage.mp3];cara
fall (season) - french;"<img src=""vocab-fall (season).jpg"">";automne;[sound:vocab-french-automne.mp3];otoño
fall (verb) - french;"<img src=""vocab-fall (verb).jpg"">";tomber;[sound:vocab-french-tomber.mp3];caer
family - french;"<img src=""vocab-family.jpg"">";famille;[sound:vocab-french-famille.mp3];familia
famous - french;"<img src=""vocab-famous.jpg"">";célèbre;[sound:vocab-french-célèbre.mp3];famoso
fan (device) - french;"<img src=""vocab-fan (device).jpg"">";ventilateur;[sound:vocab-french-ventilateur.mp3];ventilador
fan (person) - french;"<img src=""vocab-fan (person).jpg"">";fan;[sound:vocab-french-fan.mp3];fan
far - french;"<img src=""vocab-far.jpg"">";loin;[sound:vocab-french-loin.mp3];lejos
farm - french;"<img src=""vocab-farm.jpg"">";cultiver;[sound:vocab-french-cultiver.mp3];granja
fast - french;"<img src=""vocab-fast.jpg"">";rapide;[sound:vocab-french-rapide.mp3];rápido
father - french;"<img src=""vocab-father.jpg"">";père;[sound:vocab-french-père.mp3];padre
February - french;"<img src=""vocab-February.jpg"">";février;[sound:vocab-french-février.mp3];febrero
feed - french;"<img src=""vocab-feed.jpg"">";nourrir;[sound:vocab-french-nourrir.mp3];alimentar
female - french;"<img src=""vocab-female.jpg"">";femme;[sound:vocab-french-femme.mp3];hembra
fifteen - french;"<img src=""vocab-fifteen.jpg"">";quinze;[sound:vocab-french-quinze.mp3];quince
fifth - french;"<img src=""vocab-fifth.jpg"">";cinquième;[sound:vocab-french-cinquième.mp3];quinto
fifty - french;"<img src=""vocab-fifty.jpg"">";cinquante;[sound:vocab-french-cinquante.mp3];cincuenta
fight - french;"<img src=""vocab-fight.jpg"">";combattre;[sound:vocab-french-combattre.mp3];lucha
find - french;"<img src=""vocab-find.jpg"">";trouver;[sound:vocab-french-trouver.mp3];encontrar
finger - french;"<img src=""vocab-finger.jpg"">";doigt;[sound:vocab-french-doigt.mp3];dedo
fire - french;"<img src=""vocab-fire.jpg"">";feu;[sound:vocab-french-feu.mp3];fuego
first - french;"<img src=""vocab-first.jpg"">";première;[sound:vocab-french-première.mp3];primero
fish - french;"<img src=""vocab-fish.jpg"">";poisson;[sound:vocab-french-poisson.mp3];pescado
five - french;"<img src=""vocab-five.jpg"">";cinq;[sound:vocab-french-cinq.mp3];cinco
flat - french;"<img src=""vocab-flat.jpg"">";plat;[sound:vocab-french-plat.mp3];plano
floor - french;"<img src=""vocab-floor.jpg"">";sol;[sound:vocab-french-sol.mp3];suelo
flower - french;"<img src=""vocab-flower.jpg"">";fleur;[sound:vocab-french-fleur.mp3];flor
fly - french;"<img src=""vocab-fly.jpg"">";mouche;[sound:vocab-french-mouche.mp3];mosca
follow - french;"<img src=""vocab-follow.jpg"">";suivre;[sound:vocab-french-suivre.mp3];seguir
food - french;"<img src=""vocab-food.jpg"">";aliments;[sound:vocab-french-aliments.mp3];comida
foot - french;"<img src=""vocab-foot.jpg"">";pied;[sound:vocab-french-pied.mp3];pie
forest - french;"<img src=""vocab-forest.jpg"">";forêt;[sound:vocab-french-forêt.mp3];bosque
fork - french;"<img src=""vocab-fork.jpg"">";fourchette;[sound:vocab-french-fourchette.mp3];tenedor
forty - french;"<img src=""vocab-forty.jpg"">";quarante;[sound:vocab-french-quarante.mp3];cuarenta
four - french;"<img src=""vocab-four.jpg"">";quatre;[sound:vocab-french-quatre.mp3];cuatro
fourteen - french;"<img src=""vocab-fourteen.jpg"">";quatorze;[sound:vocab-french-quatorze.mp3];catorce
